_id,Rank,Name,Rating,tagCount
65d0a2b567e0fa134945c964,267,Shanhe Jian Xin,4.22,8
65d0a2b567e0fa134945c965,268,World Trigger 3rd Season,4.22,5
65d0a2b567e0fa134945c966,269,Nausicaa of the Valley of the Wind,4.22,5
65d0a2b567e0fa134945c967,270,Blue Spring Ride: Page.13,4.22,4
65d0a2b567e0fa134945c968,271,The Ancient Magus' Bride,4.22,20
65d0a2b567e0fa134945c969,272,Hunter x Hunter OVA 2: Greed Island,4.22,7
65d0a2b567e0fa134945c96a,273,Monster,4.22,20
65d0a2b567e0fa134945c96b,274,Fullmetal Alchemist,4.22,18
65d0a2b567e0fa134945c96c,275,Kids on the Slope,4.22,10
65d0a2b567e0fa134945c96d,276,Assassination Classroom,4.22,12
65d0a2b567e0fa134945c96e,277,One Piece Film: Z,4.22,7
65d0a2b567e0fa134945c96f,278,Hunter x Hunter,4.22,8
65d0a2b567e0fa134945c970,279,Zoku Owarimonogatari,4.22,5
65d0a2b567e0fa134945c971,280,Komi Can't Communicate,4.22,6
65d0a2b567e0fa134945c972,281,A Place Further Than the Universe,4.22,5
65d0a2b567e0fa134945c973,282,K-On! Movie,4.22,9
65d0a2b567e0fa134945c974,283,Major Season 2,4.22,5
65d0a2b567e0fa134945c975,284,"Welcome to Demon School, Iruma-kun 2",4.21,8
65d0a2b567e0fa134945c976,285,Great Pretender,4.21,11
65d0a2b567e0fa134945c977,286,Fate/stay night: Unlimited Blade Works,4.21,10
65d0a2b567e0fa134945c978,287,"Haikyuu!! vs. ""Akaten""",4.21,5
65d0a2b567e0fa134945c979,288,Quanzhi Gaoshou 2,4.21,7
65d0a2b567e0fa134945c97a,289,The Ancient Magus' Bride: Those Awaiting a Star,4.21,12
65d0a2b567e0fa134945c97b,290,Sword of the Stranger,4.21,15
65d0a2b567e0fa134945c97c,291,KonoSuba – God's blessing on this wonderful world! 2,4.21,15
65d0a2b567e0fa134945c97d,292,Initial D Final Stage,4.21,6
65d0a2b567e0fa134945c97e,293,Cowboy Bebop: The Movie,4.21,7
65d0a2b567e0fa134945c97f,294,Rainbow: Nisha Rokubou no Shichinin,4.21,17
65d0a2b567e0fa134945c980,295,Wotakoi: Love is Hard for Otaku OVA,4.21,5
65d0a2b567e0fa134945c981,296,Major Season 1,4.21,6
65d0a2b567e0fa134945c982,297,Mobile Suit Gundam: Iron-Blooded Orphans 2,4.2,6
65d0a2b567e0fa134945c983,298,Major Season 4,4.2,5
65d0a2b567e0fa134945c984,299,The Disastrous Life of Saiki K. - Reawakened,4.2,8
65d0a2b567e0fa134945c985,300,Hunter x Hunter OVA,4.2,7
65d0a2b567e0fa134945c986,301,Saekano: How to Raise a Boring Girlfriend Fine,4.2,8
65d0a2b567e0fa134945c987,302,ReLIFE: Kanketsu-hen,4.2,9
65d0a2b567e0fa134945c988,303,Quanzhi Gaoshou Movie: For the Glory,4.2,7
65d0a2b567e0fa134945c989,304,Legend of the Galactic Heroes: Die Neue These Second 3,4.2,7
65d0a2b567e0fa134945c98a,305,Kamisama Kiss OVA,4.2,10
65d0a2b567e0fa134945c98b,306,History's Strongest Disciple Kenichi,4.2,9
65d0a2b567e0fa134945c98c,307,Castlevania Season 2,4.2,21
65d0a2b567e0fa134945c98d,308,Wu Dong Qiankun 2nd Season,4.2,8
65d0a2b567e0fa134945c98e,309,Baccano!,4.2,11
65d0a2b567e0fa134945c98f,310,One Outs,4.2,7
65d0a2b567e0fa134945c990,311,Re:ZERO -Starting Life in Another World-,4.2,18
65d0a2b567e0fa134945c991,312,Skip Beat!,4.19,8
65d0a2b567e0fa134945c992,313,Golden Kamuy Season 2,4.19,8
65d0a2b567e0fa134945c993,314,Eve: Kaikai Kitan,4.19,6
65d0a2b567e0fa134945c994,315,Puella Magi Madoka Magica the Movie Part 3: Rebellion,4.19,11
65d0a2b567e0fa134945c995,316,Detective Conan Movie 6: The Phantom of Baker Street,4.19,9
65d0a2b567e0fa134945c996,317,Owarimonogatari,4.19,4
65d0a2b567e0fa134945c997,318,Silver Spoon 2nd Season,4.19,9
65d0a2b567e0fa134945c998,319,Mobile Suit Gundam 00 Second Season,4.19,7
65d0a2b567e0fa134945c999,320,When They Cry: Kai,4.19,9
65d0a2b567e0fa134945c99a,321,Natsume's Book of Friends,4.19,13
65d0a2b567e0fa134945c99b,322,Detective Conan Movie 14: The Lost Ship in the Sky,4.19,10
65d0a2b567e0fa134945c99c,323,The Seven Deadly Sins: Revival of the Commandments,4.19,13
65d0a2b567e0fa134945c99d,324,Toradora!,4.19,12
65d0a2b567e0fa134945c99e,325,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,4.19,6
65d0a2b567e0fa134945c99f,326,Grand Blue,4.19,11
65d0a2b567e0fa134945c9a0,327,Nodame Cantabile: Finale,4.19,12
65d0a2b567e0fa134945c9a1,328,xxxHOLiC Kei,4.19,8
65d0a2b567e0fa134945c9a2,329,Gintama,4.19,16
65d0a2b567e0fa134945c9a3,330,Vivy: Fluorite Eye's Song,4.19,9
65d0a2b567e0fa134945c9a4,331,Psycho-Pass,4.18,14
65d0a2b567e0fa134945c9a5,332,Fate/Zero,4.18,10
65d0a2b567e0fa134945c9a6,333,xxxHOLiC Rou,4.18,5
65d0a2b567e0fa134945c9a7,334,Initial D Fourth Stage,4.18,7
65d0a2b567e0fa134945c9a8,335,BELLE,4.18,9
65d0a2b567e0fa134945c9a9,336,Overlord II,4.18,18
65d0a2b567e0fa134945c9aa,337,Chuan Shu Zijiu Zhinan,4.18,17
65d0a2b567e0fa134945c9ab,338,Gintama: Jump Festa 2008,4.18,16
65d0a2b567e0fa134945c9ac,339,Sekai-ichi Hatsukoi: World's Greatest First Love 2,4.18,19
65d0a2b567e0fa134945c9ad,340,Ascendance of a Bookworm,4.18,11
65d0a2b567e0fa134945c9ae,341,Tsubasa Reservoir Chronicle: Tokyo Revelations,4.18,5
65d0a2b567e0fa134945c9af,342,Junjou Romantica 2,4.18,13
65d0a2b567e0fa134945c9b0,343,The Girl Who Leapt Through Time,4.18,6
65d0a2b567e0fa134945c9b1,344,Wotakoi: Love is Hard for Otaku,4.18,12
65d0a2b567e0fa134945c9b2,345,Berserk: Golden Age Arc III - The Advent,4.18,19
65d0a2b567e0fa134945c9b3,346,Puella Magi Madoka Magica the Movie Part 2: Eternal,4.18,11
65d0a2b567e0fa134945c9b4,347,Jujutsu Kaisen 0,4.18,6
